도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0702.007-1,가죽공예의 기초,노타니 쿠니코,,114,2014.07.21,15000,0,0,,7,2,2020.02.10,0,
0702.008-1,도예장식기법,김병억,,115,1999.04.10,20000,0,0,,7,2,2020.02.10,0,
0702.009-1,한국전통목가구,박영규,,116,2011.10.15,48000,0,0,,7,2,2020.02.10,0,
0702.010-1,공예란 무엇인가,하워드 리사티,,117,2011.04.15,20000,0,0,,7,2,2020.02.10,0,
0702.011-1,쉽고 재미있게 배우는 도자기 핸드페인팅,권숙자,,118,2012.02.22,16000,0,0,,7,2,2020.02.10,0,
0702.012-1,피규의의 교과서 원형입문편,모형의왕국,,111,2014.07.10,19800,0,0,,7,2,2020.02.10,0,
0702.013-1,행복한 종이 오리기,이마모리 미쓰히코,,119,2009.04.20,10800,0,0,,7,2,2020.02.10,0,
0101.001-1,한번에 통과하는 논문,김성은,,120,2017.11.05,18900,2,0,,1,1,2019.07.15,0,
0101.002-1,소논문 읽기로 알아보는 한국어 논문 쓰기,이윤진,,121,2017.03.10,18000,2,0,,1,1,2019.07.15,0,
0101.003-1,논문자료 탐색과 논문작성법,노영희,,122,2015.08.30,25000,2,0,,1,1,2019.07.15,0,
0102.001-1,백과사전 자연의학,마이클 T,정성한,123,2009.07.24,85000,1,2,,1,2,2019.07.16,0,
0102.002-1,백과사전에도 없는 바티칸이야기,니노 로 벨로,이영수,124,2001.08.17,6800,1,2,,1,2,2019.07.17,0,
0102.003-1,마블 백과사전,톰 드팔코,이규원,6,2015.12.25,40000,1,2,,1,2,2019.07.18,0,
0102.004-1,홈베이킹 백과사전,브레드가든,,125,2008.09.23,18000,1,2,,1,2,2019.07.19,0,
0102.005-1,위험한 백과사전,로라불러,이한음,126,2011.07.15,25000,1,2,,1,2,2019.07.20,0,
0102.006-1,총기 백과사전,마틴 도허티,양혜경,127,2016.12.01,35000,1,2,,1,2,2019.07.21,0,
